Epilobium ciliatum
Crocus banaticus
Crocus cancellatus
Crocus goulimyi
Crocus hadriaticus
Crocus kotschyanus
Crocus laevigatus
Crocus ligusticus
Crocus niveus
Crocus nudiflorus
Crocus ochroleucus
Crocus pulchellus
Crocus sativus
Crocus serotinus
Crocus speciosus
Crocus tournefortii
Oxalis pes-caprae
Elodea canadensis
Veronica persica
Oenothera sp.
Hydrocotyle ranunculoides
Pilosella aurantiaca
Heracleum mantegazzianum
Conyza sumatrensis
Impatiens glandulifera
Carpobrotus edulis
Fallopia japonica
Lemna minuta
Senecio squalidus
Crassula helmsii
Disphyma sp.
Sarracenia purpurea
Rhododendron ponticum
Fallopia baldschuanica
Azolla filiculoides
Myriophyllum verticillatum
Lagarosiphon major
Undaria pinnatifida
Crassula helmsii
Gaultheria shallon
Porphyra sp.
Sargassum muticum
Salvinia molesta
Myriophyllum aquaticum
Pistia stratiotes
Allium paradoxum
Polygonum cuspidatum
Laminaria japonica
Eichhornia crassipes
Cabomba caroliniana
Robinia pseudoacacia
Jacobaea vulgaris
Cirsium vulgare
Cirsium discolor
Rumex obtusifolius
Rumex crispus
