,observation_count,common_name,scientific_name,species_key,rank,record_count
0,1,,Abelia,NBNORG0000052930,Genus,2
1,1,,Abutilon,NBNORG0000052939,Genus,304
2,283,Velvetleaf,Abutilon theophrasti,NBNORG0000052941,Species,300
3,16,,Acacia,NBNORG0000052942,Genus,87
4,3,Hickory Wattle,Acacia falciformis,NBNORG0000025007,Species,3
5,10,Australian Blackwood,Acacia melanoxylon,NBNORG0000052943,Species,11
6,84,,Acaena,NBNORG0000052944,Genus,824
7,73,Bronze Pirri-pirri-bur,Acaena anserinifolia,NBNORG0000052945,Species,74
8,8,,Acaena anserinifolia x inermis,NBNORG0000013478,Species hybrid,8
9,7,Glaucous Pirri-pirri-bur,Acaena caesiiglauca,NBNORG0000013229,Species,7
10,69,Spineless Acaena,Acaena inermis,NBNORG0000052946,Species,69
11,6,,Acaena magellanica,NBNORG0000052947,Species,6
12,1,,Acaena microphylla,NBNORG0000052948,Species,1
13,413,Pirri-pirri-bur,Acaena novae-zelandiae,NBNORG0000022102,Species,425
14,146,Two-spined Acaena,Acaena ovalifolia,NBNORG0000052949,Species,148
15,1,Spiny-bur,Acanthospermum australe,NBNORG0000045865,Species,1
16,1,,Acanthus,NBNORG0000052955,Genus,756
17,594,Bear's-breech,Acanthus mollis,NBNORG0000013396,Species,658
18,74,Spiny Bear's-breech,Acanthus spinosus,NBNORG0000013475,Species,87
19,1254,Maple,Acer,NBNORG0000052956,Genus,268586
20,77944,Field Maple,Acer campestre,NBNORG0000007757,Species,90802
21,178,Cappadocian Maple,Acer cappadocicum,NBNORG0000013325,Species,321
22,1,,Acer cissifolium,NBNORG0000047641,Species,1
23,24,Snakebark Maple,Acer davidii,NBNORG0000025008,Species,44
24,23,Paperbark Maple,Acer griseum,NBNORG0000025009,Species,40
25,1,Heldrich's Maple,Acer heldreichii,NBNORG0000025010,Species,1
26,24,Downy Japanese-maple,Acer japonicum,NBNORG0000025011,Species,28
27,13,Oregon Maple,Acer macrophyllum,NBNORG0000025012,Species,19
28,4,,Acer mono,NBNORG0000008772,Species,13
29,4,Montpellier Maple,Acer monspessulanum,NBNORG0000025013,Species,9
30,224,Ashleaf Maple,Acer negundo,NBNORG0000013375,Species,319
31,3,Italian Maple,Acer opalus,NBNORG0000103553,Species,3
32,113,Smooth Japanese-maple,Acer palmatum,NBNORG0000025014,Species,200
33,13957,Norway Maple,Acer platanoides,NBNORG0000007756,Species,19423
34,2,,Acer platanoides 'Drummondii',NBNORG0000025084,Species hybrid,6
35,4,,Acer platanoides 'Schwedleri',NBNORG0000090701,Cultivar,4
36,133735,Sycamore,Acer pseudoplatanus,NBNORG0000007755,Species,154209
37,1,Brilliant Sycamore,Acer pseudoplatanus 'Brilliantissimum',NBNORG0000025060,Species hybrid,1
38,1,,Acer pseudoplatanus 'Leopoldii',NBNORG0000028224,Species hybrid,1
39,37,,Acer pseudoplatanus forma purpureum,NBNORG0000100081,Form,65
40,3,Variegated Sycamore,Acer pseudoplatanus forma variegatum,NBNORG0000100082,Form,4
41,23,Red Maple,Acer rubrum,NBNORG0000025015,Species,72
42,6,Grey-budded Snake-bark-maple,Acer rufinerve,NBNORG0000025016,Species,11
43,353,Silver Maple,Acer saccharinum,NBNORG0000008732,Species,995
44,1,,Acer saccharinum Laciniatum group,NBNORG0000025113,Species group,1
45,38,Sugar Maple,Acer saccharum,NBNORG0000025017,Species,62
46,1,,Acer sempervirens,NBNORG0000091422,Species,1
47,7,Tartar Maple,Acer tataricum,NBNORG0000013262,Species,7
48,1,,Acer trautvetteri,NBNORG0000047575,Species,1
49,2,,Aceraceae,NBNORG0000027140,Family,3
50,1113,Man Orchid,Aceras anthropophorum,NBNORG0000052958,Species,3205
51,79,,Achillea,NBNORG0000052959,Genus,173444
52,3,Sweet Yarrow,Achillea ageratum,NBNORG0000045867,Species,3
53,1,,Achillea alpina,NBNORG0000045868,Species,1
54,3,Serrated Yarrow,Achillea decolorans,NBNORG0000052961,Species,3
55,26,Tall Yarrow,Achillea distans,NBNORG0000008571,Species,26
56,46,Fern-leaf Yarrow,Achillea filipendulina,NBNORG0000023501,Species,75
57,1,,Achillea grandifolia,NBNORG0000013398,Species,3
58,7,Southern Yarrow,Achillea ligustica,NBNORG0000013230,Species,7
59,1,,Achillea micrantha,NBNORG0000045872,Species,1
60,125663,Yarrow,Achillea millefolium,NBNORG0000008568,Species,141837
61,42,Noble Yarrow,Achillea nobilis,NBNORG0000008572,Species,65
62,29884,Sneezewort,Achillea ptarmica,NBNORG0000008570,Species,31308
63,10,Yellow Milfoil,Achillea tomentosa,NBNORG0000008569,Species,10
64,14,,Aconitum,NBNORG0000052963,Genus,4179
65,1,,Aconitum carmichaelii,NBNORG0000045878,Species,1
66,4,Wolf's-bane,Aconitum lycoctonum,NBNORG0000107903,Species,30
67,26,,Aconitum lycoctonum subsp. vulparia,NBNORG0000107904,Subspecies,26
