Apium repens
Genrianella anglica
Euphrasia sp.
Liparis loeselii
Luronium natans
Najas marina
Coincya monensis
Cypripedium calceolus
Coincya wrightii
Cochlearia micacea
Artemisia norvegica
Alisma gramineum
Potamogeton rutilus
Rumex rupestris
Najas flexilis
Damasonium alisma
Ranunculus tripartitus
Fumaria occidentalis
Cotoneaster cambricus
Saxifraga hirculus
Epipactis youngiana
Alchemilla wichurae
Anacamptis morio
Astragalus danicus
Baldellia ranunculoides
Blysmus compressus
Bupleurum tenuissimum
Campanula patula
Carex ericetorum
Cephalanthera longifolia
Chrysanthemum segetum
Cicendia filiformis
Coeloglossum viride
Crepis mollis
Cuscuta epithymum
Dianthus deltoides
Fallopia dumetorum
Fumaria parviflora
Galium pumilum
Gentianella campestris
Gnaphalium sylvaticu
Groenlandia densa
Herminium monorchis
Hordeum marinum
Hypochaeris glabra
Juncus compressus
Juniperus communis
Melampyrum cristatum
Melittis melissophyllum
Meum athamanticum
Monotropa hypopitys
Oenanthe fistulosa
Ophrys insectifera
Orchis anthropophora
Orchis ustulata
Persicaria minor
Polystichum lonchitis
Pseudorchis albida
Pyrola media
Ranunculus arvensis
Scleranthus annuus
Sedum villosum
Sibbaldia procumbens
Silene conica
Sium latifolium
Stellaria palustris
Tephroseris integrifolia subsp. integrifolia
Torilis arvensis
Vicia orobus
Vicia parviflora
Viola lactea
